branch_id,branch_name,city,region,opening_date
BR1000,Leeds Branch Main,LEEDS,Yorkshire and the Humber,2015-06-28
BR1001,London Branch High Street,LONDON,London,1964-02-10
BR1002,Nottingham Branch North,Nottingham,East Midlands,19-Nov-1980
BR1003,Newcastle Branch High Street,NEWCASTLE,North East,23/09/1992
BR1004,Cambridge Branch Main,Cambridge,East of England,14/12/1983
BR1005,Birmingham Branch South,BIRMINGHAM,West Midlands,02-Dec-2007
BR1006,Glasgow Branch Central,glasgow,Scotland,20/03/1984
BR1007,Manchester Branch North,Manchester,North West,1989-02-03
BR1008,Edinburgh Branch High Street,Edinburg,Scotland,19/04/1988
BR1009,York Branch South,york,Yorkshire and the Humber,19-Nov-2010
BR1010,Cardiff Branch South,cardiff,Wales,06-30-1995
BR1011,Sheffield Branch North,SHEFFIELD,Yorkshire and the Humber,11.07.1972
BR1012,Brighton Branch North,brighton,South East,28.07.1983
BR1013,Oxford Branch South,OXFORD,South East,31/10/1995
BR1014,Belfast Branch Central,BELFAST,Northern Ireland,2005-09-17
BR1015,Leicester Branch Central,LEICESTER,East Midlands,01-Nov-1969
BR1016,Liverpool Branch High Street,Liverpool,North West,04.07.2013
BR1017,Southampton Branch Central,southampton,South East,2001-12-28
BR1018,Bristol Branch South,bristol,South West,04-11-1970
BR1019,Coventry Branch South,Coventry,West Midlands,08/07/1990
BR1020,Coventry Branch West,Coventry,West Midlands,09-14-2000
BR1021,Manchester Branch Retail Park,MANCHESTER,North West,2004-11-28
BR1022,Southampton Branch Retail Park,SOUTHAMPTON,South East,10/10/1986
BR1023,Leeds Branch West,leeds,Yorkshire and the Humber,22.05.2008
BR1024,Birmingham Branch Retail Park,Birmingam,,01-29-1989
BR1025,Leicester Branch Retail Park,LEICESTER,,03.08.1987
BR1026,Nottingham Branch North,Nottingham,East Midlands,19-Nov-1980
BR1027,Leeds Branch West,LEEDS,Yorkshire and the Humber,22.05.2008
BR1028,Nottingham Branch North,nottingham,East Midlands,19-Nov-1980
BR1029,Birmingham Branch Retail Park,LIVERPOOL,,01-29-1989
BR1030,Manchester Branch Retail Park,Manchster,North West,2004-11-28
BR1031,Southampton Branch Central,SOUTHAMPTON,South East,2001-12-28
