loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_end_date,loan_status
LN700238,CUST102822,Mortgage,151233.97,5.2,2012-08-29,2020-08-29,Paid Off
LN701049,CUST101064,Home Loan,321178.73,4.72,28.04.2016,28/04/2026,Active
LN700003,CUST100165,STUDENT LOAN,57574.86,6.78,15-Jul-2016,2030-07-15,Active
LN700180,CUST102251,Car Loan,34414.78,4.91,10.01.2017,10.01.2040,Paid Off
LN700006,CUST102127,auto loan,27076.78,7.7,21/11/2017,11-21-2027,Defaulted
LN700625,CUST100941,Car Loan,37360.34,10.66,09.12.2016,12-09-2038,Closed
LN700353,CUST102283,Personal Loan,7555.76,99.9,13/10/2022,13/10/2030,Defaulted
LN700388,CUST100458,Student Loan,12103.61,6.59,23.01.2017,2019-01-23,Paid Off
LN700444,CUST100274,Student Loan,12945.4,2.96,13/02/2021,13/02/2040,Defaulted
LN700448,CUST102343,Personal Loan,15494.67,9.79,13/11/2016,13/11/2038,Defaulted
LN700620,CUST102567,Personal Loan,23344.52,12.59,2011-01-12,01-12-2018,
LN700273,CUST100504,mortgage,379009.03,6.04,04/10/2014,2030-10-04,Paid Off
LN700226,CUST101302,Personal,22005.8,11.64,10/01/2014,2015-01-10,Paid Off
LN700939,CUST102147,mortgage,420872.18,5.45,08-03-2010,03-Aug-2012,Paid Off
LN700512,CUST101605,auto loan,12498.15,10.02,20.03.2022,03-20-2023,Paid Off
LN700543,CUST101136,Personal Loan,3659.15,7.44,03.02.2010,03/02/2026,Paid Off
LN700078,CUST100383,student loan,43830.27,1.74,12-16-2011,12-16-2022,Paid Off
LN701143,CUST101292,STUDENT LOAN,43798.96,6.35,02-05-2015,02-05-2017,Defaulted
LN700203,CUST101938,PERSONAL LOAN,8148.65,12.92,24.09.2022,2040-09-24,Closed
LN700678,CUST100450,auto loan,36331.59,6.15,13/02/2012,2013-02-13,Defaulted
LN700333,CUST103045,student loan,58436.77,5.65,03-Jun-2018,03-Jun-2026,Defaulted
LN700884,CUST101277,Mortgage,403361.93,3.12,01.02.2021,01/02/2040,Defaulted
LN700965,CUST102153,PERSONAL LOAN,7515.55,13.14,06.09.2022,06/09/2040,Paid Off
LN700343,CUST101429,PERSONAL LOAN,2172.86,5.38,23/06/2018,2033-06-23,Paid Off
LN700707,CUST100461,Auto Loan,16514.27,10.0,2015-06-12,12/06/2016,Closed
LN700829,CUST102136,Student Loan,57912.05,5.03,2017-09-16,16-Sep-2038,Active
LN700257,CUST102162,Auto Loan,27678.93,10.78,2021-10-29,2026-10-29,Defaulted
LN700725,CUST101810,Home Loan,135088.95,2.95,02.06.2022,02-Jun-2040,Closed
LN700571,CUST103057,auto loan,12993.66,9.07,17.08.2017,17-Aug-2029,Active
LN700937,CUST101829,Student Loan,21296.15,5.75,19.06.2014,06-19-2018,
LN700025,CUST103005,student loan,41901.08,1.84,18-Jun-2013,06-18-2032,Closed
LN700778,CUST100605,student loan,25447.73,2.42,2020-01-24,2022-01-24,Paid Off
LN700648,CUST101727,STUDENT LOAN,14179.21,4.7,2011-07-23,07-23-2019,Paid Off
LN700398,CUST100176,Student Loan,24168.88,6.45,15.05.2015,05-15-2020,Closed
LN700812,CUST102018,student loan,41758.12,3.81,19-Jan-2020,01-19-2027,Active
LN700032,CUST102478,mortgage,204058.22,6.05,07/03/2014,07.03.2019,Closed
LN700170,CUST101615,auto loan,16250.7,4.19,2013-01-04,04/01/2016,Defaulted
LN701114,CUST100463,STUDENT LOAN,37086.31,4.2,28.05.2017,28.05.2034,Closed
