complaint_id,customer_id,complaint_date,complaint_category,complaint_status,resolution_days,branch_id
CMP900059,CUST102807,07-23-2020,Account Closure,Open,3,BR1031
CMP900289,CUST102942,03-21-2019,Mis-selling,Escalated,43,BR1021
CMP900866,CUST101645,2019-07-03,Account Closure,In Progress,31,BR1031
CMP900716,CUST101368,12-21-2024,Fees & Charges,Resolved,40,BR1001
CMP900517,CUST101653,2022-12-12,Customer Service,Escalated,14,BR1017
CMP900314,CUST102438,11-Jun-2020,Fees & Charges,Resolved,14,BR1031
CMP900915,CUST100659,16-Dec-2026,Card Issue,Escalated,37,BR1019
CMP900329,CUST102734,08-27-2025,Loan Issue,Resolved,37,BR1029
CMP900805,CUST100771,2025-02-07,Loan Issue,Open,8,BR1012
CMP900355,CUST101299,30/01/2024,Fees & Charges,Open,5,BR1019
CMP900768,CUST100814,13.06.2026,,In Progress,17,BR1003
CMP900536,CUST103036,2019-12-23,Fraud,Resolved,6,BR1015
CMP900529,CUST100022,31-May-2021,Loan Issue,In Progress,28,BR1014
CMP900910,CUST103070,04-19-2024,Card Issue,In Progress,43,BR1031
CMP900736,CUST101637,13/07/2019,Mis-selling,Escalated,13,BR1002
CMP900788,CUST102791,08.08.2020,Mis-selling,Resolved,14,BR1019
CMP900138,CUST102768,02-04-2022,Customer Service,Open,24,BR1001
CMP900526,CUST101596,13/03/2025,,Resolved,37,BR1031
CMP900147,CUST102813,14/01/2025,Account Closure,Escalated,1,BR1005
CMP900451,CUST100177,28-Apr-2020,Card Issue,Open,22,BR1001
CMP900513,CUST100991,2020-12-20,,Escalated,19,BR1019
CMP900085,CUST100968,29/05/2026,Card Issue,In Progress,16,BR1026
CMP900776,CUST101698,2025-05-16,Fraud,Resolved,19,BR1019
CMP900280,CUST102118,17/06/2022,Online Banking,Open,26,BR1031
CMP900790,CUST100475,06-May-2023,Fraud,Resolved,35,BR1025
CMP900795,CUST102184,01/09/2024,Card Issue,Open,13,BR1016
CMP900796,CUST100781,05-21-2021,Fraud,Resolved,43,BR1021
CMP900612,CUST102266,22-Oct-2023,Card Issue,Open,10,BR1023
CMP900432,CUST100389,2022-09-05,Customer Service,Open,44,BR1020
CMP900035,CUST100192,07-Apr-2021,,Resolved,6,BR1018
CMP900905,CUST100282,26/02/2020,Fraud,Escalated,28,BR1019
CMP900245,CUST102640,30/07/2020,Loan Issue,In Progress,1,BR1010
CMP900847,CUST102248,2022-11-18,Online Banking,Escalated,40,BR1018
CMP900834,CUST101075,17/07/2024,Account Closure,Resolved,-2,BR1020
CMP900572,CUST101416,03-24-2024,Online Banking,Open,2,BR1004
CMP900889,CUST103031,10-Oct-2024,Online Banking,Resolved,7,BR1020
CMP900282,CUST100116,2025-06-29,Customer Service,Escalated,38,BR1009
CMP900176,CUST100653,12-10-2022,Customer Service,Open,42,BR1003
CMP900393,CUST103074,2024-08-14,Mis-selling,Resolved,20,BR1008
CMP900443,CUST101202,05.02.2021,Customer Service,In Progress,20,BR1015
CMP900231,CUST102183,01-Aug-2025,Card Issue,Escalated,21,BR1001
CMP900498,CUST100651,02.09.2026,Loan Issue,Escalated,8,BR1004
CMP900799,CUST100320,24/04/2023,,Open,7,BR1023
CMP900758,CUST102351,10-11-2020,Fees & Charges,In Progress,3,BR1012
CMP900818,CUST102615,2026-01-17,,Open,18,BR1031
CMP900294,CUST102686,17/06/2025,Fees & Charges,In Progress,36,BR1031
CMP900719,CUST102534,02/11/2023,Account Closure,In Progress,16,BR1020
CMP900054,CUST100687,14.05.2020,Loan Issue,Escalated,7,BR1026
CMP900106,CUST102115,14-Nov-2024,Fraud,Open,28,BR1003
CMP900047,CUST103053,06-03-2019,Fees & Charges,Escalated,7,BR1024
CMP900223,CUST100901,06-29-2019,Fees & Charges,Resolved,23,BR1019
CMP900605,CUST101606,2021-08-08,,Escalated,28,BR1000
CMP900827,CUST103137,07-14-2026,Fraud,Open,11,BR1022
